110.193;-7.857;50;126.6
110.193;-7.855;63;128.2
110.193;-7.853;78;130.2
110.193;-7.851;74;129.8
110.193;-7.849;65;129.1
110.193;-7.847;62;129
110.195;-7.975;5;106.2
110.195;-7.973;9;106.4
110.195;-7.971;7;105.9
110.195;-7.969;9;106
110.195;-7.967;9;106.1
110.195;-7.965;6;105.5
110.195;-7.963;2;105.2
110.195;-7.961;3;105.2
110.195;-7.959;9;105.8
110.195;-7.957;9;105.9
110.195;-7.955;3;105.2
110.195;-7.953;3;105.4
110.195;-7.951;7;105.9
110.195;-7.949;14;107
110.195;-7.947;16;107.2
110.195;-7.945;9;106.7
110.195;-7.943;12;107.3
110.195;-7.941;8;107
110.195;-7.939;7;107.1
110.195;-7.937;5;107.1
110.195;-7.935;4;107.2
110.195;-7.933;8;108
110.195;-7.931;9;108.5
110.195;-7.929;9;108.8
110.195;-7.927;12;109.4
110.195;-7.925;15;110.1
110.195;-7.923;12;110.2
110.195;-7.921;8;110
110.195;-7.919;10;110.7
110.195;-7.917;14;111.4
110.195;-7.915;19;112.4
110.195;-7.913;27;113.6
110.195;-7.911;33;114.6
110.195;-7.909;29;114.5
110.195;-7.907;18;113.9
110.195;-7.905;18;114.4
110.195;-7.903;8;113.7
110.195;-7.901;11;114.5
110.195;-7.899;8;114.6
110.195;-7.897;6;114.9
110.195;-7.895;16;116.3
110.195;-7.893;20;117.1
110.195;-7.891;28;118.1
110.195;-7.889;44;120.4
110.195;-7.887;48;121.3
110.195;-7.885;58;122.7
110.195;-7.883;67;124.1
110.195;-7.881;69;124.9
110.195;-7.879;65;124.6
110.195;-7.877;60;124.5
110.195;-7.875;55;124.3
110.195;-7.873;43;123.4
110.195;-7.871;30;122.2
110.195;-7.869;24;122
110.195;-7.867;23;122.1
110.195;-7.865;27;122.7
110.195;-7.863;39;124.5
110.195;-7.861;51;125.9
110.195;-7.859;59;127
110.195;-7.857;75;129
110.195;-7.855;66;128.4
110.195;-7.853;79;129.9
110.195;-7.851;87;130.9
110.195;-7.849;89;131.4
110.195;-7.847;84;131.1
110.197;-7.975;4;106
110.197;-7.973;7;106.1
110.197;-7.971;5;105.8
110.197;-7.969;8;106
110.197;-7.967;9;105.9
110.197;-7.965;4;105.2
110.197;-7.963;4;105.3
110.197;-7.961;8;105.7
110.197;-7.959;5;105.3
110.197;-7.957;4;105.1
110.197;-7.955;3;105.2
110.197;-7.953;6;105.7
110.197;-7.951;12;106.6
110.197;-7.949;14;106.8
110.197;-7.947;14;107.1
110.197;-7.945;10;106.8
110.197;-7.943;14;107.3
110.197;-7.941;15;107.7
110.197;-7.939;7;106.9
110.197;-7.937;8;107.3
110.197;-7.935;5;107.2
110.197;-7.933;9;108
110.197;-7.931;11;108.7
110.197;-7.929;13;109.1
110.197;-7.927;15;109.6
110.197;-7.925;16;110
110.197;-7.923;11;109.9
110.197;-7.921;6;109.6
110.197;-7.919;11;110.7
110.197;-7.917;17;111.6
110.197;-7.915;18;112
110.197;-7.913;31;113.8
110.197;-7.911;41;115.4
110.197;-7.909;27;114.3
110.197;-7.907;17;113.8
110.197;-7.905;16;114.1
110.197;-7.903;13;114.2
110.197;-7.901;8;113.9
110.197;-7.899;8;114.4
110.197;-7.897;16;115.7
110.197;-7.895;20;116.6
110.197;-7.893;25;117.3
110.197;-7.891;28;118.1
110.197;-7.889;36;119.5
110.197;-7.887;43;120.5
110.197;-7.885;51;121.8
110.197;-7.883;59;123.2
110.197;-7.881;61;123.7
110.197;-7.879;52;123.1
110.197;-7.877;46;122.6
110.197;-7.875;45;123.2
110.197;-7.873;37;122.6
110.197;-7.871;27;121.8
110.197;-7.869;26;122
110.197;-7.867;28;122.4
110.197;-7.865;30;123
110.197;-7.863;36;123.8
110.197;-7.861;50;125.7
110.197;-7.859;62;127.2
110.197;-7.857;67;128
110.197;-7.855;82;130
110.197;-7.853;81;129.9
110.197;-7.851;74;129.4
110.197;-7.849;85;130.6
110.197;-7.847;54;127.4
110.199;-7.975;1;105.5
110.199;-7.973;4;105.7
110.199;-7.971;5;105.6
110.199;-7.969;10;106.1
110.199;-7.967;7;105.5
110.199;-7.965;3;105
110.199;-7.963;6;105.3
110.199;-7.961;9;105.7
110.199;-7.959;7;105.5
110.199;-7.957;3;104.9
110.199;-7.955;4;105.3
110.199;-7.953;5;105.5
110.199;-7.951;13;106.5
110.199;-7.949;14;106.7
110.199;-7.947;15;107.1
110.199;-7.945;7;106.3
110.199;-7.943;11;106.8
110.199;-7.941;15;107.5
110.199;-7.939;7;106.6
110.199;-7.937;16;108.1
110.199;-7.935;9;107.6
110.199;-7.933;8;107.7
110.199;-7.931;12;108.5
110.199;-7.929;16;109.3
110.199;-7.927;17;109.6
110.199;-7.925;15;109.9
110.199;-7.923;11;109.8
110.199;-7.921;6;109.5
110.199;-7.919;12;110.5
110.199;-7.917;19;111.8
110.199;-7.915;22;112.4
110.199;-7.913;31;113.7
110.199;-7.911;35;114.5
110.199;-7.909;22;113.6
110.199;-7.907;19;113.7
110.199;-7.905;18;114.2
110.199;-7.903;17;114.4
110.199;-7.901;11;114.1
110.199;-7.899;9;114.4
110.199;-7.897;17;115.6
110.199;-7.895;20;116.3
110.199;-7.893;26;117.3
110.199;-7.891;38;119
110.199;-7.889;46;120.2
110.199;-7.887;61;122.4
110.199;-7.885;61;122.7
110.199;-7.883;66;123.7
110.199;-7.881;59;123.4
110.199;-7.879;45;122
110.199;-7.877;38;121.7
